Well_ID,Well_Name,Field_Location,Date,Oil_Production_BBL,Gas_Production_MSCF,Water_Cut_Percentage,Downtime_Hours,Equipment_Status
WELL_001,Delta-A-01,Niger Delta Onshore,1/1/2024,2658,8834,12.03,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/2/2024,2577,8907,12.04,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/3/2024,1787,6289,12.09,9,Maintenance
WELL_001,Delta-A-01,Niger Delta Onshore,1/4/2024,2661,8802,12.12,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/5/2024,2631,8766,12.15,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/6/2024,2626,8813,12.18,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/7/2024,2643,8914,12.19,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/8/2024,776,2612,12.21,11,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,1/9/2024,2612,8751,12.22,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/10/2024,2571,8743,12.25,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/11/2024,2660,8930,12.29,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/12/2024,269,815,12.31,23,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,1/13/2024,2627,8775,12.36,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/14/2024,2588,8887,12.41,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/15/2024,2592,8746,12.42,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/16/2024,128,2027,12.44,17,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,1/17/2024,1782,6232,12.49,4,Maintenance
WELL_001,Delta-A-01,Niger Delta Offshore,1/18/2024,2602,8753,12.53,2,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/19/2024,2608,8874,12.57,0,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/20/2024,2645,8756,12.6,3,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/21/2024,768,1028,12.63,12,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,1/22/2024,2567,8732,12.64,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/23/2024,2653,8767,12.68,2,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/24/2024,230,1678,12.72,16,Failed
WELL_001,Delta-A-01,Niger Delta Onshore,1/25/2024,698,1819,12.76,16,Failed
WELL_001,Delta-A-01,Niger Delta Offshore,1/26/2024,2561,8737,12.8,0,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/27/2024,2629,8835,12.85,1,Active
WELL_001,Delta-A-01,Niger Delta Offshore,1/28/2024,2650,8834,12.87,1,Active
WELL_001,Delta-A-01,Niger Delta Onshore,1/29/2024,2555,8806,12.88,0,Active
